2023-06-29 19:37:21,880 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Configure stats pid to 6361
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Loading settings from /Users/umbertofasci/.config/wandb/settings
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Loading settings from /Users/umbertofasci/wandb_mnist_test/Sweep/wandb/settings
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweeps-tensorflow', 'entity': 'uj_fasci', 'root_dir': '/Users/umbertofasci/wandb_mnist_test/Sweep', 'run_id': 'rsx3tsxn', 'sweep_param_path': '/Users/umbertofasci/wandb_mnist_test/Sweep/wandb/sweep-vdgz7m7k/config-rsx3tsxn.yaml', 'sweep_id': 'vdgz7m7k'}
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_init.py:_log_setup():507] Logging user logs to /Users/umbertofasci/wandb_mnist_test/Sweep/wandb/run-20230629_193721-rsx3tsxn/logs/debug.log
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/umbertofasci/wandb_mnist_test/Sweep/wandb/run-20230629_193721-rsx3tsxn/logs/debug-internal.log
2023-06-29 19:37:21,881 INFO    Thread-22 (_run_job):6361 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x2e1f2ba90>
2023-06-29 19:37:21,882 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():547] calling init triggers
2023-06-29 19:37:21,882 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 32, 'learning_rate': 0.0001}
config: {'batch_size': 64, 'learning_rate': 0.01}
2023-06-29 19:37:21,882 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():596] starting backend
2023-06-29 19:37:21,882 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():600] setting up manager
2023-06-29 19:37:21,895 INFO    Thread-22 (_run_job):6361 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-06-29 19:37:21,899 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():606] backend started and connected
2023-06-29 19:37:21,908 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb None None {'batch_size': 32, 'learning_rate': 0.0001}
2023-06-29 19:37:21,911 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2023-06-29 19:37:21,911 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_label_probe_notebook():1245] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-06-29 19:37:21,911 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():703] updated telemetry
